actual_costs_to_report_date,project_id,department,category,subcategory,project_description,initial_costs,cap_ex_2019,op_map
0,2002500718,Waterworks Utility,Supply and Treatment,Water Treatment,WT Plant Capacity Validation,0,0,Water & Waste
1234775.53,2077000118,Land Drainage and Flood Control Utility,Land Drainage,Land Drainage System,Development Agree Payback,1234775.53,0,Misc Capital Expenditure
3557805.35,1804200216,Public Works,Regional Streets,Streets Renewals,Sidewk /Curb Renew-Dntn Reg St,3557805.35,0,Road Maintenance
0,3459000119,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,Innovation Strategy,NA,0,"Innovation, Transformation & Technology"
0,2002500518,Waterworks Utility,Supply and Treatment,Water Treatment,Deacon Site Flood Protection,0,0,Water & Waste
17821964.77,1805001117,Public Works,Local Streets,Disraeli Bridge,Disraeli Bridges-Future Pmnt,17821964.77,0,Road Maintenance
0,2003000918,Waterworks Utility,Supply and Treatment,Aqueduct,Br 1 Aqueduct-Riverbank Stab,0,0,Water & Waste
0,4210010719,Transit,Transit Security Enhance,Transit Safety Mgmt Practices,Admin & Ctrl Centre Radio Repl,NA,0,Public Transit
3000,6210000118,Community Services (including Community Incentive Grants),Library,Library Improvements- Existing,Library Safety & Access Prog,3000,0,Libraries
1344528.11,1804101216,Public Works,Regional Streets,Streets Renewals,Archibald/Watt-#80Narin,1344528.11,0,Road Maintenance
673777.94,1806100417,Public Works,Local Streets,Street Renewals,LSR 17/16-R-04 AECOM,673777.94,0,Road Maintenance
0,1804100418,Public Works,Regional Streets,Streets Renewals,Portage & Main Rehabilitation,0,0,Road Maintenance
0,2010001219,Waterworks Utility,Distribution,Information Technology,Customer Billing Upgrade,NA,0,Water & Waste
15140.63,1816010717,Public Works,Other Street Projects,Asset Management,SMIR-New Signals Controllers,15140.63,0,Road Maintenance
0,6331002619,Municipal Accommodations,Property Asset Management,Security/Building Automation Systems Incentives,Security/Building Automation,NA,0,Misc Capital Expenditure
0,2203500019,Winnipeg Police Service,Computer Upgrades,,Technology Upgrades-Infor Syst,NA,0,Police Service
4474956.97,1806102117,Public Works,Local Streets,Street Renewals,LSR 17-R-05B AECOM,4474956.97,0,Road Maintenance
0,3459000519,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-Robotic Process Automation,NA,0,"Innovation, Transformation & Technology"
0,6331000619,Municipal Accommodations,Property Asset Management,Civic Buildings - Refurbishment and Improvements,Energy Conservation,NA,0,Misc Capital Expenditure
0,2203700019,Winnipeg Police Service,Computer Upgrades,Hardware Upgrade,In Car Computing,NA,0,Police Service
0,2037001619,Sewage Disposal Utility,Collection,Interceptors,Southwest Interceptor Crossing,NA,0,Police Service
0,1816010417,Public Works,Other Street Projects,Asset Management,SMIR-Cold Weather Concreting,0,0,Road Maintenance
2396078.43,1807000518,Public Works,Regional Streets,Developer Paybacks,Tuxedo Yards Development,2396078.43,0,Road Maintenance
0,3401206019,"Innovation, Transformation and Technology",Hardware,Communications Network Infrastructure,Tait Radio Replacement M,NA,0,"Innovation, Transformation & Technology"
0,2010001619,Waterworks Utility,Distribution,Information Technology,IT Cybersecurity Review,NA,0,Water & Waste
0,2111020017,Fire Paramedic Service,Facilities,Optimization,Standards of Coverage,0,0,Fire Service
0,3459000118,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,Innovation Strategy-ISP,0,0,"Innovation, Transformation & Technology"
0,2005001317,Waterworks Utility,Supply and Treatment,Pumping Stations,Study Backup Power Hurst,0,0,Water & Waste
0,1852000119,Public Works,Parks and Open Space,Athletic Fields Improvements,Athletic Fields - Improvements,NA,0,Recreation
0,400291718,City Clerks,City Clerks,Innovation Fund,ICF-FlameguardFireSuppression,NA,0,"Innovation, Transformation & Technology"
2481914.69,4230010313,Transit,Rapid Transit,Jubilee Rapid Transit Station,Jubilee Rapid Tr Station 2013,2481914.69,0,Public Transit
0,3401205019,"Innovation, Transformation and Technology",Hardware,Communications Network Infrastructure,CSB Facilities,NA,0,"Innovation, Transformation & Technology"
213574.19,1857001618,Public Works,Parks and Open Space,Community Park Amenities,PREP-Transcona,213574.19,0,Parks and Urban Forestry
0,1420230614,Local Improvements,Local Improvements,Boulevards and Sidewalks,Point Hebert-GrassBLVD-20.5ft,0,0,Road Maintenance
1020,2062000716,Solid Waste Disposal Utility,Collection and Disposal,Brady Road,Brady Alternative Energy Study,1020,0,Solid Waste Collection
1394487.75,1806101817,Public Works,Local Streets,Street Renewals,Residential TBO C,1394487.75,0,Road Maintenance
36.4,2201400013,Winnipeg Police Service,Computer Upgrades,Telephone System,Comm New Phone System,36.4,0,Police Service
479006.56,1806100317,Public Works,Local Streets,Street Renewals,LSR 17/16-R-03B  MMM,479006.56,0,Road Maintenance
398728.33,1832000311,Public Works,Regional Streets,Active Transportation Facilities,Active Transportation Corridor,398728.33,0,Road Maintenance
0,6394000119,Municipal Accommodations,Property Asset Management,Community Facilities,Recreation & Leisure Centres,NA,0,Recreation
0,1812000119,Public Works,Other Street Projects,Asset Management,Asset Mgmt - Various Divisions,NA,0,Road Maintenance
10924935.22,2037001211,Sewage Disposal Utility,Collection,Interceptors,Inkster Blvd Interceptor,10924935.22,0,Water & Waste
0,2078000119,Land Drainage and Flood Control Utility,Flood Control,Outfalls,Outfall Rehabilitation,NA,0,Misc Capital Expenditure
0,4230030219,Transit,Transit Improvements,Transit Improvements,Accessibility Program,NA,0,Public Transit
0,400001718,City Clerks,City Clerks,Innovation Fund,Innovation Capital Fund,NA,0,"Innovation, Transformation & Technology"
0,2205000019,Winnipeg Police Service,Computer Upgrades,Software Upgrade,Police Div Systems Upgr. M,NA,0,Police Service
0,1804104119,Public Works,Regional Streets,Streets Renewals,Reg St Renew-Various Locations,NA,0,Road Maintenance
0,2204500016,Winnipeg Police Service,Computer Upgrades,Electronic Ticketing,Electronic Ticketing,0,0,Police Service
0,1400000218,Assessment and Taxation,Assessment and Taxation,Valcura System,Valcura System,0,0,Misc Capital Expenditure
56058.89,1804200318,Public Works,Regional Streets,Sidewalk and Curb Repair,Detectable Warning Surf Reg St,56058.89,0,Road Maintenance
0,6351300218,"Planning, Property and Development",Land Drainage & Flood Control,Riverbank Stabilization,Riverbank Stab/Phys Asset Prot,0,0,Misc Capital Expenditure
937757.96,1804101316,Public Works,Regional Streets,Streets Renewals,Watt-Chalmers/Nairin,937757.96,0,Road Maintenance
498560.38,1832000116,Public Works,Regional Streets,Active Transportation Facilities,Rec Walkways & Bike Paths,498560.38,0,Recreation
418471.34,1856000317,Public Works,Parks and Open Space,Pathway/Roadway/Tennis Court Upgrading,Parks Road Renewal,418471.34,0,Parks and Urban Forestry
505177.2,1804100617,Public Works,Regional Streets,Streets Renewals,Pembina-Cloutier/Ducharme,505177.2,0,Road Maintenance
3207.89,3459001418,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP - eVoting,3207.89,0,"Innovation, Transformation & Technology"
0,2030003019,Sewage Disposal Utility,Collection,Lift Stations,Comminutor Chamber Rehab,NA,0,Water & Waste
0,2035000119,Sewage Disposal Utility,Collection,Lift Stations,2019 Stations Upgrading,NA,0,Water & Waste
0,6351241519,"Planning, Property and Development",City Beautification,BIZ Zones Image Routes Main Streets,BIZ Zones Image Rtes Main Sts,NA,0,City Beautification
0,3459000819,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP-Business Continuity Plann,NA,0,"Innovation, Transformation & Technology"
0,2010002019,Waterworks Utility,Distribution,Information Technology,GIS Enhancements,NA,0,Water & Waste
0,400001717,City Clerks,City Clerks,Innovation Fund,Innovation Capital Fund,NA,0,"Innovation, Transformation & Technology"
0,2065001219,Solid Waste Disposal Utility,Recycling and Waste Diversion,Recycling,CIWMS Material Recov Education,NA,0,Solid Waste Collection
0,3459000618,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP - Book an Officer Website,0,0,"Innovation, Transformation & Technology"
0,3459000418,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP - Citizen Portal,0,0,"Innovation, Transformation & Technology"
0,1804000118,Public Works,Regional Streets,Streets Renewals,Regional and Local Streets Ren,0,0,Road Maintenance
0,6331020818,Municipal Accommodations,Property Asset Management,Civic Buildings - Refurbishment and Improvements,Gen Replace & Upgrade,0,0,Misc Capital Expenditure
0,2010001518,Waterworks Utility,Distribution,Information Technology,CCB iNovah Integration,0,0,Water & Waste
10000,1816010517,Public Works,Other Street Projects,Asset Management,SMIR-Rut Resist Modifid Type1A,10000,0,Road Maintenance
5579.6,2204500015,Winnipeg Police Service,Computer Upgrades,Electronic Ticketing,Electronic Ticketing,5579.6,0,Police Service
539020.08,4230030117,Transit,Innovative Transit Program,2017 Innovative Transit Program,Innovative Transit Program,539020.08,0,Public Transit
16276,6331000717,Municipal Accommodations,Property Asset Management,Civic Buildings - Refurbishment and Improvements,Historic Buildings,16276,0,Misc Capital Expenditure
0,1856000217,Public Works,Parks and Open Space,Pathway/Roadway/Tennis Court Upgrading,Boat Docks & Lauches,0,0,Parks and Urban Forestry
96184.7,6331000217,Municipal Accommodations,Property Asset Management,Civic Buildings - Refurbishment and Improvements,General Building Reno/Refurb,96184.7,0,Misc Capital Expenditure
0,2002500517,Waterworks Utility,Supply and Treatment,Water Treatment,Deacon Site Flood Protection,0,0,Water & Waste
0,3459000718,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP - Fibre Build Re- Engineer,0,0,"Innovation, Transformation & Technology"
0,1806101019,Public Works,Local Streets,Street Renewals,LSR 19-R-03 C WSP,NA,0,Road Maintenance
2259492.19,1806200116,Public Works,Local Streets,Sidewalks,Sidewalk Renewals Local Street,2259492.19,0,Road Maintenance
0,6321000019,Fire Paramedic Service,Facilities,Maintenance,Station Capital Maintenance,NA,0,Fire Service
287886.51,1832000316,Public Works,Regional Streets,Active Transportation Facilities,New Non - Regional Sidewalks,287886.51,0,Road Maintenance
0,2070002719,Land Drainage and Flood Control Utility,Land Drainage,Land Drainage System,Lot 16 Drain Slope Stab,NA,0,Misc Capital Expenditure
7146794.4,1801000218,Public Works,Other Street Projects,New Transportation,Chief Peguis Trail-Future Pmnt,7146794.4,0,Road Maintenance
1514176.97,1806101117,Public Works,Local Streets,Street Renewals,LSR 17-R-05 AECOM,1514176.97,0,Road Maintenance
3700,6213000117,Community Services (including Community Incentive Grants),Library,Library Redevelopment- New,Library Facility New-South Wpg,3700,0,Libraries
7155.3,3459001318,"Innovation, Transformation and Technology",Software,Data Warehouse / Business Integration,ISP - ChatBot,7155.3,0,"Innovation, Transformation & Technology"
1116380.1,1806101617,Public Works,Local Streets,Street Renewals,Residential TBO A,1116380.1,0,Road Maintenance
0,2035000616,Sewage Disposal Utility,Collection,Lift Stations,D'Arcy Lift Stn Load Shedding,0,0,Road Maintenance
0,2111010918,Fire Paramedic Service,Facilities,Maintenance,Facilities Optimizat-Station 9,0,0,Fire Service
0,2070000413,Land Drainage and Flood Control Utility,Flood Control,Floodplain Mgmt,Floodplain Mgmt,0,0,Misc Capital Expenditure
0,6351300219,"Planning, Property and Development",Land Drainage & Flood Control,Riverbank Stabilization,Riverbank Stab/Phys Asset Prot,NA,0,Misc Capital Expenditure
2589136.84,1804100414,Public Works,Regional Streets,Streets Renewals,King Edward-Legion/Dublin,2589136.84,0,Road Maintenance
94970.53,1804200316,Public Works,Regional Streets,Sidewalk and Curb Repair,Detectable Warning Surf Reg St,94970.53,0,Road Maintenance
0,2203200018,Winnipeg Police Service,Computer Upgrades,Computer Upgrades,"WPS Data Integr,Audit & Qualty",0,0,Police Service
0,1816010817,Public Works,Other Street Projects,Asset Management,SMIR-Pavement Initiatives,0,0,Road Maintenance
0,6252000119,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Community Centre Reno Grant,NA,0,Recreation
0,6351300119,"Planning, Property and Development",Land Drainage & Flood Control,Riverbank Greenway Programs,Riverbank Greenway Programs,NA,0,Misc Capital Expenditure
0,2040001219,Sewage Disposal Utility,Collection,Information Technology,Customer Billing Upgrade,NA,0,Water & Waste
88152.1,1804200317,Public Works,Regional Streets,Sidewalk and Curb Repair,Detectable Warning Surf Reg St,88152.1,0,Road Maintenance
0,2010001519,Waterworks Utility,Distribution,Information Technology,CCB iNovah Integration,NA,0,Water & Waste
0,2082000219,Land Drainage and Flood Control Utility,Land Drainage,Land Drainage System,LD Regional/Local Streets,NA,0,Misc Capital Expenditure
0,2062000819,Solid Waste Disposal Utility,Recycling and Waste Diversion,Brady Road,BRRMF - Site Improvements,NA,0,Solid Waste Collection
11312.64,1816010318,Public Works,Other Street Projects,Asset Management,SMIR-Ash Tree Ring (EAB),11312.64,0,Road Maintenance
0,2001002819,Waterworks Utility,Supply and Treatment,Various,Water Conservation Study,NA,0,Water & Waste
432200.98,2001003015,Waterworks Utility,Supply and Treatment,Various,Watershed & Asset Protection,432200.98,0,Water & Waste
0,2104015019,Fire Paramedic Service,Equipment,Replacement,Power Stretchers,NA,0,Fire Service
0,2076500119,Land Drainage and Flood Control Utility,Flood Control,Flood Pumping Station,Flood Pumping Station Rehab,NA,0,Misc Capital Expenditure
0,6351300217,"Planning, Property and Development",Land Drainage & Flood Control,Riverbank Stabilization,Riverbank Stab/Phys Asset Prot,0,0,Misc Capital Expenditure
0,1420230714,Local Improvements,Local Improvements,Boulevards and Sidewalks,Point Hebert-BLVD-Trees Messag,0,0,Road Maintenance
0,2010001919,Waterworks Utility,Distribution,Information Technology,Digital Enablement,NA,0,Water & Waste
3543356.39,1806100717,Public Works,Local Streets,Street Renewals,LSR 17-R-01 IN-HOUSE,3543356.39,0,Road Maintenance
0,6331000719,Municipal Accommodations,Property Asset Management,Civic Buildings - Refurbishment and Improvements,Historic Buildings,NA,0,Misc Capital Expenditure
0,2104200019,Fire Paramedic Service,Equipment,Replacement,Hoists and Compressor,NA,0,Fire Service
0,1400000119,Assessment and Taxation,Assessment and Taxation,Assessment Automation,Assessment Automation,NA,0,Misc Capital Expenditure
473088.38,1804200117,Public Works,Regional Streets,Streets Renewals,Sidewalk/Curb Renewals-Reg St,473088.38,0,Road Maintenance
274590.5,1858000315,Public Works,Parks and Open Space,Insect Control - Safe storage and handling of Chemicals,Insect Control-Repl 3Grey St.,274590.5,0,Parks and Urban Forestry
0,1804104019,Public Works,Regional Streets,Streets Renewals,Paving Granular Shoulders,NA,0,Road Maintenance
13654438.26,6399000313,Municipal Accommodations,Property Asset Management,Community Centres - Refurbishment and Improvements,Jonathan Toews Field House,13654438.26,0,Recreation
0,2070002819,Land Drainage and Flood Control Utility,Flood Control,Primary Dike,St Boniface PLD Slop Stab,NA,0,Misc Capital Expenditure
0,1833000119,Public Works,Regional Streets,Active Transportation Facilities,Transportation Master Plan,NA,0,Public Transit
93304.18,1832000315,Public Works,Regional Streets,Active Transportation Facilities,New Non - Regional Sidewalks,93304.18,0,Recreation
1017876.77,1806101717,Public Works,Local Streets,Street Renewals,Residential TBO B,1017876.77,0,Road Maintenance
0,400001716,City Clerks,City Clerks,Innovation Fund,Innovation Capital Fund,NA,0,"Innovation, Transformation & Technology"
13311.53,6392030117,Municipal Accommodations,Property Asset Management,Indoor Aquatic Facilities - Maintenance and Repair,CKRC Pool - Replac Direct  AHU,13311.53,0,Recreation
0,2037001618,Sewage Disposal Utility,Collection,Interceptors,Southwest Interceptor Crossing,0,0,Water & Waste
0,400311718,City Clerks,City Clerks,Innovation Fund,Digitization of Board Comm Rec,NA,0,"Innovation, Transformation & Technology"
0,1804103919,Public Works,Regional Streets,Streets Renewals,LagBlvd NB-RegntAve W to Almy,NA,0,Road Maintenance
32109.97,1804200315,Public Works,Regional Streets,Sidewalk and Curb Repair,Detectable Warning Surf Reg St,32109.97,0,Road Maintenance
0,2080000115,Land Drainage and Flood Control Utility,Flood Control,Land Acquisition,Seine River Waterway Acquis,0,0,Misc Capital Expenditure
2839.38,2061000118,Solid Waste Disposal Utility,Collection and Disposal,Land Acquisition,Misc Land Acquisition,2839.38,0,Solid Waste Collection
1454927.43,1806100617,Public Works,Regional Streets,Streets Renewals,LSR 17/16-R-06B AECOM,1454927.43,0,Road Maintenance
36713,6395020118,Municipal Accommodations,Property Asset Management,Civic Buildings - Refurbishment and Improvements,Millennium Library - HVAC    M,36713,0,Libraries
0,2070000414,Land Drainage and Flood Control Utility,Flood Control,Floodplain Mgmt,Floodplain Mgmt,0,0,Misc Capital Expenditure
-0.02,1420000117,Local Improvements,Local Improvements,Local Improvements - Float,2017 Local Improvements,58.88,-58.9,Misc Capital Expenditure
-137.93,2104014119,Fire Paramedic Service,Equipment,Replacement,Self Contained Breathing Appar,NA,-137.93,Fire Service
385235.45,6351800117,"Planning, Property and Development",City Beautification,Downtown Enhancement Program,Downtown Enhancement Program,385534.03,-298.58,City Beautification
121732.41,1857000318,Public Works,Parks and Open Space,Community Park Amenities,PREP-Daniel McIntyre,122459.45,-727.04,Parks and Urban Forestry
1232983.58,2204400017,Winnipeg Police Service,Police Headquarters,Safety Upgrades,Police HQ Bldg Sys Safeguards,1234091.2,-1107.62,Police Service
27685.7,2065000814,Solid Waste Disposal Utility,Recycling and Waste Diversion,Brady Road,CIWMS Conslt Supprt Transition,29514.79,-1829.09,Solid Waste Collection
1964276.68,1806100116,Public Works,Local Streets,Street Renewals,16-LI-01 Granular Imp,1966767.02,-2490.34,Road Maintenance
283135.01,6321000417,Fire Paramedic Service,Facilities,Maintenance,Station Cap Mtce-Station 17`,285898.64,-2763.63,Fire Service
280537.6,1816010716,Public Works,Other Street Projects,Asset Management,SMIR-Pavement Initiatives,284401.55,-3863.95,Road Maintenance
36280.95,6362400317,Community Services (including Community Incentive Grants),Recreation and Leisure,Recreation Facility Refurbishment & Redevelopment- Existing,Boni-Vital Pool M,42633,-6352.05,Recreation
71826.65,2034000913,Sewage Disposal Utility,Treatment,NEWPCC,Hauled Liq Waste Acceptnce Fac,79688.74,-7862.09,Water & Waste
4970439.64,6213001113,Community Services (including Community Incentive Grants),Library,Library Redevelopment- New,Library Fac Redev-Windsor Park,4979608.48,-9168.84,Libraries
358471.41,1853000217,Public Works,Parks and Open Space,Parks Improvements,Community&Nghbor Parks-New,368436.63,-9965.22,Parks and Urban Forestry
174199.37,1831100118,Public Works,Regional Streets,Traffic Engineering Improvements,Traffic Signals Improvements,188938.87,-14739.5,Road Maintenance
14193001.34,3401204017,"Innovation, Transformation and Technology",Hardware,Communications Network Infrastructure,Public Safety Radio System,14208992.94,-15991.6,"Innovation, Transformation & Technology"
201812.69,6322003016,Winnipeg Police Service,Police Headquarters,Police Headquarters,North Dist Police Station    M,229654.65,-27841.96,Police Service
391933.39,2040000618,Sewage Disposal Utility,Treatment,Information Technology,Process Control Sys Upgrade,431157.63,-39224.24,Water & Waste
1955109.59,6318010117,Public Works,Parks and Open Space,Community Parks,Kildonan Park Staff House,2013919.43,-58809.84,Parks and Urban Forestry
134182.19,2010001218,Waterworks Utility,Distribution,Information Technology,Customer Billing Upgrade,209153.51,-74971.32,Water & Waste
122349.94,2040001218,Sewage Disposal Utility,Collection,Information Technology,Customer Billing Upgrade,208557.16,-86207.22,Water & Waste
9026.51,6331010417,Municipal Accommodations,Property Asset Management,Fire Safety Upgrading,2017 Fire Alarm Code Complianc,100802.53,-91776.02,Fire Service
14540349.43,2013100118,Waterworks Utility,Distribution,Water Main Renewals,2018 Water Main Renewal Pro P,14636380.24,-96030.81,Water & Waste
211745.19,6392000118,Municipal Accommodations,Property Asset Management,Indoor Aquatic Facilities - Maintenance and Repair,Indoor Aquatic Facilities,332478.21,-120733.02,Recreation
1270.7,2104015018,Fire Paramedic Service,Equipment,Replacement,Power Stretchers,136277.9,-135007.2,Fire Service
5106939.08,1806100418,Public Works,Local Streets,Street Renewals,LSR 18-R-02A AECOM,5246247,-139307.92,Road Maintenance
210436.69,1832000114,Public Works,Regional Streets,Active Transportation Facilities,Rec Walkways & Bike Paths,359669.13,-149232.44,Road Maintenance
186323.12,2076500117,Land Drainage and Flood Control Utility,Flood Control,Flood Pumping Station,Flood Pumping Station Rehab,374921.68,-188598.56,Misc Capital Expenditure
3100000,4230010612,Transit,Rapid Transit,Rapid Transit Planning,Rapid Transit Planning - P,3318247.27,-218247.27,Public Transit
